Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-01-30 14:15:25.395 +0530,"Aborted",0:01:26,1,0,1,"20220130_141525.395/LogFile.txt","","",0
2022-01-30 14:20:10.555 +0530,"Aborted",0:00:53,1,0,0,"20220130_142010.555/LogFile.txt","","",0
2022-01-30 14:23:16.797 +0530,"Aborted",0:00:19,1,0,1,"20220130_142316.797/LogFile.txt","","",0
2022-01-30 14:23:45.024 +0530,"Aborted",0:00:10,1,0,1,"20220130_142345.024/LogFile.txt","","",0
2022-01-30 14:24:05.269 +0530,"Aborted",0:00:07,1,0,1,"20220130_142405.269/LogFile.txt","","",0
2022-01-30 14:24:16.542 +0530,"Aborted",0:00:02,1,0,0,"20220130_142416.542/LogFile.txt","","",0
2022-01-30 14:24:20.573 +0530,"Aborted",0:00:01,1,0,0,"20220130_142420.573/LogFile.txt","","",0
2022-01-30 14:24:38.374 +0530,"Aborted",0:00:03,1,0,1,"20220130_142438.374/LogFile.txt","","",0
2022-01-30 14:24:45.556 +0530,"Aborted",0:01:24,1,0,1,"20220130_142445.556/LogFile.txt","","",0
2022-01-31 10:07:14.229 +0530,"Failure",0:00:00,1,0,1,"20220131_100714.229/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2022-01-31 10:07:37.677 +0530,"Aborted",0:02:21,1,0,1,"20220131_100737.677/LogFile.txt","","",0
2022-01-31 10:17:35.022 +0530,"Aborted",0:00:01,1,0,1,"20220131_101735.022/LogFile.txt","","",0
2022-01-31 10:28:24.560 +0530,"Aborted",0:04:02,1,0,1,"20220131_102824.560/LogFile.txt","","",0
2022-01-31 10:34:35.061 +0530,"Aborted",0:00:53,1,0,1,"20220131_103435.061/LogFile.txt","","",0
2022-01-31 10:36:26.070 +0530,"Aborted",0:00:59,1,0,1,"20220131_103626.070/LogFile.txt","","",0
2022-01-31 10:39:35.923 +0530,"Success",0:04:05,0,0,0,"20220131_103935.923/LogFile.txt","","",1
2022-01-31 10:47:19.414 +0530,"Aborted",0:00:02,1,0,0,"20220131_104719.414/LogFile.txt","","",0
2022-01-31 11:02:07.465 +0530,"Aborted",0:01:33,1,0,1,"20220131_110207.465/LogFile.txt","","",0
2022-01-31 17:55:53.639 +0530,"Aborted",0:02:19,1,0,1,"20220131_175553.639/LogFile.txt","","",0
2022-01-31 17:58:30.082 +0530,"Aborted",0:01:37,1,0,1,"20220131_175830.082/LogFile.txt","","",0
2022-01-31 18:00:57.530 +0530,"Aborted",0:00:09,1,0,0,"20220131_180057.530/LogFile.txt","","",0
2022-01-31 18:01:22.242 +0530,"Aborted",0:02:31,1,0,1,"20220131_180122.242/LogFile.txt","","",0
2022-01-31 18:11:16.180 +0530,"Aborted",0:00:35,1,0,1,"20220131_181116.180/LogFile.txt","","",0
2022-01-31 18:14:56.221 +0530,"Aborted",0:00:11,1,0,0,"20220131_181456.221/LogFile.txt","","",0
2022-01-31 18:15:33.395 +0530,"Aborted",0:01:22,1,0,1,"20220131_181533.395/LogFile.txt","","",0
2022-01-31 18:21:47.316 +0530,"Aborted",0:01:44,1,0,0,"20220131_182147.316/LogFile.txt","","",0
2022-01-31 18:23:41.098 +0530,"Aborted",0:02:59,1,0,1,"20220131_182341.098/LogFile.txt","","",0
2022-01-31 18:28:53.417 +0530,"Aborted",0:02:16,1,0,1,"20220131_182853.417/LogFile.txt","","",0
2022-01-31 18:49:51.240 +0530,"Aborted",0:00:02,1,0,0,"20220131_184951.240/LogFile.txt","","",0
2022-01-31 19:01:13.361 +0530,"Aborted",0:07:12,1,0,0,"20220131_190113.361/LogFile.txt","","",0
2022-01-31 19:46:41.064 +0530,"Aborted",0:00:36,1,0,1,"20220131_194641.064/LogFile.txt","","",0
2022-01-31 19:49:32.626 +0530,"Failure",0:02:59,1,0,1,"20220131_194932.626/LogFile.txt","","Error Running Script Command -- readtext Error - Parameter Error - readtext called with absolute point (749, 840) and other parameters",0
2022-01-31 20:32:48.053 +0530,"Aborted",0:00:36,1,0,1,"20220131_203248.053/LogFile.txt","","",0
2022-01-31 20:33:45.337 +0530,"Aborted",0:04:26,1,0,0,"20220131_203345.337/LogFile.txt","","",0
2022-01-31 20:41:16.731 +0530,"Aborted",0:04:34,1,0,0,"20220131_204116.731/LogFile.txt","","",0
2022-01-31 20:48:24.394 +0530,"Aborted",0:04:31,1,0,0,"20220131_204824.394/LogFile.txt","","",0
2022-01-31 20:55:53.668 +0530,"Aborted",0:04:12,1,0,0,"20220131_205553.668/LogFile.txt","","",0
2022-01-31 21:03:15.389 +0530,"Success",0:03:57,0,0,0,"20220131_210315.389/LogFile.txt","","",1
2022-02-02 11:47:59.419 +0530,"Aborted",0:01:36,1,0,1,"20220202_114759.419/LogFile.txt","","",0
2022-02-02 12:23:40.046 +0530,"Aborted",0:02:22,1,0,1,"20220202_122340.046/LogFile.txt","","",0
2022-02-02 12:30:01.846 +0530,"Aborted",0:02:10,1,0,1,"20220202_123001.846/LogFile.txt","","",0
2022-02-02 12:33:30.737 +0530,"Aborted",0:00:25,1,0,0,"20220202_123330.737/LogFile.txt","","",0
2022-02-02 12:34:04.467 +0530,"Aborted",0:01:22,1,0,0,"20220202_123404.467/LogFile.txt","","",0
2022-02-02 12:36:20.699 +0530,"Aborted",0:02:16,1,0,0,"20220202_123620.699/LogFile.txt","","",0
2022-02-02 12:41:13.741 +0530,"Aborted",0:04:40,1,0,1,"20220202_124113.741/LogFile.txt","","",0
2022-02-02 12:49:31.791 +0530,"Aborted",0:02:29,1,0,1,"20220202_124931.791/LogFile.txt","","",0
2022-02-02 12:54:36.652 +0530,"Aborted",0:05:11,1,0,1,"20220202_125436.652/LogFile.txt","","",0
2022-02-02 13:14:20.579 +0530,"Aborted",0:06:50,1,0,1,"20220202_131420.579/LogFile.txt","","",0
2022-02-02 13:21:15.117 +0530,"Aborted",0:14:03,1,0,1,"20220202_132115.117/LogFile.txt","","",0
2022-02-02 13:36:28.880 +0530,"Success",0:04:12,0,0,0,"20220202_133628.880/LogFile.txt","","",1
2022-02-02 13:53:22.906 +0530,"Aborted",0:03:02,1,0,1,"20220202_135322.906/LogFile.txt","","",0
2022-02-02 13:57:07.038 +0530,"Success",0:04:38,0,0,0,"20220202_135707.038/LogFile.txt","","",1
2022-02-02 14:09:29.599 +0530,"Aborted",0:02:20,1,0,0,"20220202_140929.599/LogFile.txt","","",0
2022-02-02 14:12:59.119 +0530,"Aborted",0:01:49,1,0,1,"20220202_141259.119/LogFile.txt","","",0
2022-02-02 14:15:56.484 +0530,"Aborted",0:03:02,1,0,1,"20220202_141556.484/LogFile.txt","","",0
2022-02-02 14:22:41.830 +0530,"Aborted",0:02:07,1,0,1,"20220202_142241.830/LogFile.txt","","",0
2022-02-02 14:26:05.407 +0530,"Aborted",0:03:11,1,0,1,"20220202_142605.407/LogFile.txt","","",0
2022-02-02 14:29:17.682 +0530,"Aborted",0:00:02,1,0,0,"20220202_142917.682/LogFile.txt","","",0
2022-02-02 14:30:24.917 +0530,"Aborted",0:02:10,1,0,1,"20220202_143024.917/LogFile.txt","","",0
2022-02-02 14:40:25.113 +0530,"Aborted",0:02:23,1,0,1,"20220202_144025.113/LogFile.txt","","",0
2022-02-02 15:10:57.623 +0530,"Aborted",0:02:23,1,0,1,"20220202_151057.623/LogFile.txt","","",0
2022-02-02 15:15:19.101 +0530,"Success",0:04:16,0,0,0,"20220202_151519.101/LogFile.txt","","",1
2022-02-02 15:24:36.159 +0530,"Success",0:04:42,0,0,0,"20220202_152436.159/LogFile.txt","","",1
2022-02-15 14:18:56.246 +0530,"Aborted",0:00:49,1,0,0,"20220215_141856.246/LogFile.txt","","",0
2022-02-15 14:21:18.359 +0530,"Aborted",0:02:20,1,0,1,"20220215_142118.359/LogFile.txt","","",0
2022-02-15 14:23:53.490 +0530,"Aborted",0:02:12,1,0,1,"20220215_142353.490/LogFile.txt","","",0
2022-02-15 14:26:15.490 +0530,"Aborted",0:02:22,1,0,1,"20220215_142615.490/LogFile.txt","","",0
2022-02-15 16:36:53.453 +0530,"Aborted",0:05:09,1,0,1,"20220215_163653.453/LogFile.txt","","",0
2022-02-15 16:43:48.223 +0530,"Aborted",0:03:13,1,0,1,"20220215_164348.223/LogFile.txt","","",0
2022-02-15 16:56:56.929 +0530,"Aborted",0:07:26,1,0,1,"20220215_165656.929/LogFile.txt","","",0
2022-02-15 19:54:05.255 +0530,"Aborted",0:00:04,1,0,0,"20220215_195405.255/LogFile.txt","","",0
2022-02-15 19:54:45.960 +0530,"Aborted",0:17:57,1,0,0,"20220215_195445.960/LogFile.txt","","",0
2022-02-15 20:13:24.525 +0530,"Aborted",0:04:54,1,0,0,"20220215_201324.525/LogFile.txt","","",0
